Abd,Abdominal 
Abnl,Abnormal
Abnly,Abnormality
Abnlys,Abnormalities
Abt,About
Abx,Antibiotics
Acu,Acute
Acuy,Acutely
Addn,Addition
Addnl,Additional
Adep,Antidepressant
Adeps,Antidepressants
Adeq,Adequate
Afib,Atrial fibrillation
Agn,Again
Albu,Albuterol
Aldy,Already
Alpraz,Alprazolam
Amap,As much as possible
Amitr,Amitriptyline
Amox,Amoxicillin
Antic,Anticipate
Anticd,Anticipated
Anticg,Anticipating
Anticn,Anticipation
Anticoag,Anticoagulate
Anticoagd,Anticoagulated
Anticoagg,Anticoagulating
Anticoagn,Anticoagulation
Anticoags,Anticoagulates
Antics,Anticipates
Anticy,Anticipatory
Anx,Anxious
Anxy,Anxiety
Approp,Appropriate
Appropy,Appropriately
Approx,Approximate
Approxy,Approximately
Appt,Appointment
Appts,Appointments
Assc,Asymptomatic
Assoc,Associate
Assocd,Associated
Assocg,Associating
Assocn,Association
Assocs,Associates
Aten,Atenolol
Att,At that time
Attt,At that time
Avail,Available
Aw,Associated with
Azith,Azithromycin
B4,Before
B4d,Beforehand
Bc,Because
Bdnowr,I think benefits **do not** outweigh the risks in this patient.
Behav,Behavior
Benzo,Benzodiazepine
Benzos,Benzodiazepines
Bgn,Begin
Bgng,Beginning
Bgns,Begins
Bham,Bellingham
Bhv,Behavior
Bhvy,Behaviorally
Bilat,Bilateral
Bilaty,Bilaterally
Bili,Bilirubin
Bn,Been
Bowr,I think benefits outweigh the risks in this patient.
Bp,Blood pressure
Bpmed,Blood pressure medication
Bps,Blood pressures
Bt,But
Bw,Better with
Bx,Biopsy
Bx,Biopsy
Bxd,Biopsied
C/s,Cesarian section
C/w,Consistent with
Callfu,Patient will call us to update status
Cards,Cardiology
Cardt,Cardiologist
Ccs,Corticosteroid
Ccsi,Corticosteroid injection
Cd,Could
Chemo,Chemotherapy
Chiro,Chiropracter
Chron,Chronic
Chrony,Chronically
Ck,Check
Ckd,Checked
Ckg,Checking
Cks,Checks
Cl,Call
Cld,Called
Clg,Calling
Clinip,Call if not improving
Clinip,Call if not improving.
Clonaz,Clonazepam
Cm,Come
Cn,Can
Comb,Combine
Combd,Combined
Combg,Combining
Combn,Combination
Combns,Combinations
Combo,Combination
Combos,Combinations
Combs,Combines
Comor,Comorbid
Comory,Comorbidity
Confu,Confuse
Confud,Confused
Confug,Confusing
Confun,Confusion
Confus,Confuses
Cont,Continue
Contd,Continued
Contemp,Contemplative
Contg,Continuing
Contn,Continuation
Contrib,Contribute
Contribd,Contributed
Contribg,Contributing
Contribn,Contribution
Contribs,Contributes
Contriby,Contributory
Conts,Continues
Conty,Continuity
Cryo,Cryotherapy
Ctx,Contractions
Cv,Cardiovascular
Cw,Consistent with
Cx,Culture
Cxr,Chest x-ray
Cyp,Could you please
Cypn,Could you please tell patient everything was normal.
D/o,Disorder
Dadep,"Discussed antidepressants, time course of effects & side effects. Discussed titration, when to call."
Dbpcard,Discussed blood pressure self-monintoring and recording.
Dc,Discontinue
Dccst,"Discussed issues around corticosteroid topicals, efficacy, length of use versus potency, risks."
Dcd,Discontinued
Dcg,Discontinuing
Dcn,Discontinuation
Dcpe,Will discuss these labs at the patient's upcoming preventative exam.
Dcv,"Discussed cardiovascular major risk factors, reasons to get evaluated emergently, risk factor modification."
Dd,Did
Dddx,Discussed differential diagnosis with patient.
Ddm,Discussed using high-dose dextromethorphan (60mg) for cough.
Ddoubt,Discussed my doubts that the symptoms are clinically significant.
Ddx,Differential diagnosis
Ddxe,Differential diagnosis excludes
Ddxi,Differential diagnosis includes
Decr,Decrease
Decrd,Decreased
Decrg,Decreasing
Derm,Dermatology
Dermt,Dermatologist
Dermun,Dermoscopically unremarkable.
Deval,Discussed plan for testing to evaluate for diagnosis.
Devel,Develop
Develd,Developed
Develg,Developing
Devels,Develops
Develt,Development
Dexam,Discussed pertinent findings of physical exam today.
Dexcercise,Discussed importance of exercise/lifestyle activity. Ways to increase.
Dfenofibrate,Discussed studies about fenofibrate in diabetics pros/cons.
Dfever,Discussed importance of fever control and how to manage with OTC medications.
Dflonase,Discussed and demonstrated use of nasal corticosteroids.
Dflutx,"Discussed plan of controlling fever (tylenol and ibuprofen), hydrating, staying home."
Dfu,Discussed/Encouraged routine follow up.
Dglucose,"Discussed significance (cardiovascular, potential diabetes) and monitoring for glucose intolerance."
Dherbal,Discussed botanical options for symptom control.
Dholdabx,Prescribed antibiotics but a plan to hold and monitor symptoms for now.
Dholdmed,Discussed a trial of holding a medication for a few weeks and monitoring for potential side effect.
Dhomeosa,"Patient will check with family if she snores, gasps, chokes or stops breathing at nighttime."
Dhscrp,Discussed studies about heart disease and elevated waistline. Check hsCRP and discussed role of statin for heart disease prevention. The most recent study was with Rosuvastatin -- I suspect Simvastatin would have similar effect with better cost effectiveness.
Diff,Different
Diffe,Difference
Dinjn,"Discussed usual issues around corticosteroid injections (risk for flare, time course, warning signs for infection, etc)."
Dispo,Disposition
Dist,Distant
Diste,Distance
Distrib,Distribute
Distribd,Distributed
Distribg,Distributing
Distribn,Distribution
Distribs,Distributes
Dists,Disances
Disty,Distantly
Dlab,Reviewed labs with patient and discussed significance.
Dlk,"D. Kutzke, ARNP"
Dly,Daily
Dm,Diabetes
Dmedtitr,Discussed the possibility of the patient doing a self-titration of the medication.
Dmelox,Discussed the use of meloxiam for inflammation (chosen for dosing simplicity.)
Dnh,Discussed usual natural history of this problem.
Dnoflut,"Although symptoms overlap with influenza, I do not think testing necessary."
Dnopsa,"Discussed pros/cons of PSA testing and prostate cancer screening. After discussion, patient opted against lab screening."
Dnpt,Discussed self-testing (Nocturnal Penile Tumescence) and significance of results for differentiating between psychogenic and organic erectile dysfunction.
Dnsaid,Discussed use of anti-inflammatories such as ibuprofen and naproxen. 
Doc,Doctor
Docu,Document
Docud,Documented
Docug,Documenting
Docun,Documentation
Docus,Documents
Dopiate,Discussed value/usage of opiates for pain relief.
Dosa,"Discussed the significance of obstructive sleep apnea (including cardiovascular risks, bidirectional effect with weight, lifestyle benefits of treatment). Explained the general process of evaluation and common troubles with compliance."
Dotc,Discussed how to use OTC medications to help alleviate symptoms.
Dpc,Discussed pros/cons of
Dpd,Depend
Dpdd,Depended
Dpdg,Depending
Dpds,Depends
Dpedfever,"Discussed fever management in children, dosing of medications, alternating ibuprofen and tylenol."
Dpedsleep,"Discussed pediatric sleep issues, consider/use melatonin (pros/cons), role of sleep in development (behaviorally, mental health, etc)."
Dpolypill,Discussed the polypill studies as an introduction to cardiovascular issues.
Dpsa,Discussed pros/cons of PSA testing and prostate cancer screening.
Dref,Discussed reasons for referral.
Dreturn,Discussed reasons to return to clinic for recheck.
Drexam,Discussed reassuring aspects of physical exam.
Drf,Discussed warning signs to watch for and when to be re-evaluated.
Drtc,Discussed reasons for returning to clinic.
Ds,Discuss
Dsal,Discussed and demonstrated use of saline sinus lavage for symptom reduction.
Dsd,Discussed
Dsdc,Discussed a trial of medication discontinuation and careful monitoring for symptom recurrence.
Dsdm,Discuss at upcoming diabetic follow up visit.
Dse,Discussed common side effects of medication.
Dselflimit,Anticipate this will be self-limiting.
